University 1,University 2,Pairs,ALBERT,DistilBERT,DistilRoberta,MPNeTv1,MPNeTv2,MiniLM,Davinci,ada
University of Illinois,Massachusetts Institute of Technology,UIUC-MIT,0.40201226,0.39596665,0.4972652,0.58444506,0.45277917,0.48010555,0.832945555,0.859098957
University of Illinois,Yale University,UIUC-YU,0.36865118,0.32690305,0.37387627,0.5343442,0.37688884,0.40977794,0.834566218,0.839734477
University of Illinois,University of Toronto,UIUC-U of T,0.3521084,0.4125577,0.507289,0.5791967,0.50637335,0.46942556,0.839452161,0.861695508
University of Illinois,Carnegie Mellon University,UIUC-CMU,0.39627495,0.39212832,0.46985862,0.6044577,0.520958,0.44597825,0.740065963,0.851058627
University of Illinois,Georgia Institute of Technology,UIUC-Georgia Tech,0.3437365,0.3787687,0.49636504,0.6255252,0.49565864,0.45381305,0.820422167,0.846591897
University of Illinois,University of Cambridge,UIUC-UCam,0.30558088,0.34712157,0.3741987,0.5372534,0.38824758,0.36999583,0.788883569,0.845022544
University of Illinois,University of Oxford,UIUC-Oxon,0.37295184,0.35357764,0.3958579,0.57333237,0.41894308,0.35962868,0.809905708,0.846182928
University of Illinois,University College London,UIUC-UCL,0.4373742,0.45715123,0.5347146,0.6171705,0.5246156,0.4704267,0.832814066,0.86722419
University of Illinois,EPFL,UIUC-EPFL,0.38454014,0.36695302,0.49103054,0.59536135,0.46090496,0.44565234,0.845845879,0.850854446
University of Illinois,NTU,UIUC-NTU,0.45216662,0.41568446,0.48523957,0.5564308,0.4920636,0.4481698,0.828284409,0.852690286
University of Illinois,University of Waterloo,UIUC-UWaterloo,0.265705,0.3050715,0.34849048,0.5672829,0.34650978,0.33873665,0.797566025,0.836500267
University of Illinois,University of Hong Kong,UIUC-HKU,0.4475298,0.48459587,0.57239217,0.62852865,0.5417535,0.54042375,0.867221405,0.883479805
Carnegie Mellon University,Harvard University,CMU-HU,0.36504376,0.39139566,0.50166816,0.6673913,0.52196985,0.42505804,0.831868272,0.865381239
Carnegie Mellon University,Massachusetts Institute of Technology,CMU-MIT,0.40708444,0.38614047,0.52274853,0.6404649,0.478048,0.48085988,0.807786789,0.859216969
Carnegie Mellon University,Yale University,CMU-YU,0.32283208,0.24561262,0.34842274,0.57491153,0.38751933,0.33126286,0.762376485,0.82676049
Carnegie Mellon University,University of Toronto,CMU-U of T,0.47574183,0.4529357,0.57505167,0.67443323,0.6111137,0.48933506,0.828898786,0.875542276
Carnegie Mellon University,University of Illinois,CMU-UIUC,0.38988796,0.40146622,0.5686267,0.6712234,0.5650428,0.5014606,0.828754871,0.857679252
Carnegie Mellon University,Georgia Institute of Technology,CMU-Georgia Tech,0.32862195,0.34136444,0.47396153,0.6526608,0.517555,0.4332342,0.828819753,0.845279175
Carnegie Mellon University,University of Cambridge,CMU-UCam,0.3144789,0.2703537,0.3915619,0.58063394,0.4505012,0.3470305,0.80303723,0.843001631
Carnegie Mellon University,University of Oxford,CMU-Oxon,0.35922083,0.29848918,0.42662868,0.61457187,0.5019823,0.37650332,0.843776546,0.851377226
Carnegie Mellon University,University College London,CMU-UCL,0.37867835,0.3870808,0.5523048,0.64814013,0.5560918,0.46251184,0.837954614,0.85993387
Carnegie Mellon University,EPFL,CMU-EPFL,0.33259964,0.35763672,0.48870555,0.6651621,0.5183815,0.40972072,0.827376006,0.856516514
