Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
MON-HKU,0.5145,Georgia Tech-UIUC,0.4651,CMU-Georgia Tech,0.5023,JHU-Oxon,0.6581,Georgia Tech-MON,0.5605,EPFL-UCam,0.4649,CMU-HKU,0.8586,UCL-JHU,0.8691
UCL-UEdin,0.5121,UIUC-CMU,0.4647,CMU-JHU,0.5014,EPFL-UEdin,0.6575,HKU-MON,0.5604,HKU-EPFL,0.4623,CMU-UEdin,0.8561,UCL-UEdin,0.8688
EPFL-UCL,0.5079,JHU-CMU,0.4635,Georgia Tech-UCL,0.5013,HKU-JHU,0.6553,EPFL-Georgia Tech,0.5589,UCL-UEdin,0.4614,UCL-CMU,0.8516,CMU-UIUC,0.8666
JHU-UEdin,0.5052,HKU-UCL,0.4623,JHU-UEdin,0.5013,Georgia Tech-CMU,0.6537,JHU-UIUC,0.5564,UCL-UCam,0.4608,UEdin-Georgia Tech,0.8516,HKU-UIUC,0.8664
EPFL-JHU,0.5018,EPFL-UEdin,0.4615,EPFL-JHU,0.4983,JHU-HKU,0.6511,UCL-Georgia Tech,0.5563,Georgia Tech-UCL,0.4597,CMU-MON,0.8511,EPFL-UIUC,0.8663
HKU-UCL,0.501,JHU-EPFL,0.4587,UEdin-EPFL,0.4956,UEdin-JHU,0.6483,EPFL-JHU,0.5555,JHU-HKU,0.4596,HKU-CMU,0.8506,JHU-UEdin,0.8654
Georgia Tech-UCL,0.4931,Georgia Tech-JHU,0.458,UCL-CMU,0.4889,EPFL-JHU,0.6457,UCL-HKU,0.5519,UCam-EPFL,0.4593,MON-UCL,0.8486,MON-CMU,0.8648
CMU-HKU,0.4887,UIUC-UEdin,0.4523,JHU-UCam,0.4871,MON-Oxon,0.6439,EPFL-CMU,0.5506,CMU-JHU,0.459,JHU-Georgia Tech,0.8482,JHU-CMU,0.8646
UCL-CMU,0.4871,JHU-Georgia Tech,0.4503,UEdin-UCL,0.4855,UEdin-HKU,0.6426,UCL-EPFL,0.5454,Georgia Tech-MON,0.4561,EPFL-UIUC,0.848,EPFL-HKU,0.864
EPFL-CMU,0.4803,CMU-HKU,0.4494,CMU-HKU,0.4832,CMU-Georgia Tech,0.642,CMU-UCL,0.544,UEdin-EPFL,0.455,EPFL-UEdin,0.848,JHU-UCam,0.8637
