Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
MIT-Oxon,0.4575,UCam-UIUC,0.4521,MIT-Georgia Tech,0.5157,UCam-UIUC,0.6564,CMU-UCL,0.5561,CMU-MIT,0.4809,NTU-Georgia Tech,0.8529,MIT-EPFL,0.8607
Oxon-U of T,0.4568,UCam-NTU,0.4516,HKU-CMU,0.5153,HKU-UCam,0.6560,UCam-CMU,0.5552,HU-YU,0.4804,HU-NTU,0.8528,UCam-MIT,0.8605
UCL-HU,0.4545,Georgia Tech-UCam,0.4500,UCL-MIT,0.5129,HU-MIT,0.6556,EPFL-UCam,0.5552,UIUC-MIT,0.4801,MIT-U of T,0.8526,UCam-UWaterloo,0.8605
MIT-YU,0.4539,YU-UCam,0.4488,UCL-Georgia Tech,0.5120,MIT-Georgia Tech,0.6556,Georgia Tech-UCL,0.5526,UCam-YU,0.4797,U of T-UCam,0.8516,CMU-UCL,0.8599
UCL-HKU,0.4526,U of T-EPFL,0.4482,EPFL-U of T,0.5107,Oxon-CMU,0.6556,EPFL-U of T,0.5508,U of T-UCam,0.4785,HU-UCL,0.8515,CMU-MIT,0.8592
UIUC-NTU,0.4522,UCam-MIT,0.4481,HKU-MIT,0.5093,HKU-HU,0.6554,U of T-MIT,0.5462,UCL-UCam,0.4771,U of T-UIUC,0.8514,UIUC-MIT,0.8591
NTU-UIUC,0.4496,HKU-UWaterloo,0.4477,UIUC-U of T,0.5073,CMU-Georgia Tech,0.6527,UCL-U of T,0.5458,HU-CMU,0.4765,EPFL-Georgia Tech,0.8514,UCL-Georgia Tech,0.8590
MIT-U of T,0.4482,NTU-Oxon,0.4465,MIT-CMU,0.5070,UCL-Georgia Tech,0.6511,UIUC-HKU,0.5418,UCL-HU,0.4727,Georgia Tech-UCam,0.8511,Georgia Tech-NTU,0.8586
UIUC-HKU,0.4475,HKU-Georgia Tech,0.4464,HU-EPFL,0.5066,YU-HKU,0.6509,Georgia Tech-CMU,0.5403,EPFL-U of T,0.4722,EPFL-HKU,0.8510,NTU-HKU,0.8585
EPFL-HU,0.4444,Oxon-MIT,0.4453,MIT-YU,0.5054,UCL-MIT,0.6507,U of T-Georgia Tech,0.5401,Georgia Tech-UCL,0.4721,Georgia Tech-Oxon,0.8502,HU-UCam,0.8580
U of T-Georgia Tech,0.4414,UCL-Georgia Tech,0.4445,UCam-HKU,0.5022,Georgia Tech-U of T,0.6493,UCam-MIT,0.5386,UCL-U of T,0.4710,MIT-UIUC,0.8501,CMU-UIUC,0.8577
EPFL-MIT,0.4408,NTU-UCam,0.4431,CMU-HU,0.5017,HU-UIUC,0.6493,UCL-CMU,0.5383,UIUC-UCL,0.4704,UCL-MIT,0.8497,HU-EPFL,0.8573
