Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
UCL-UCam,0.502,CU-MIT,0.4382,JHU-UEdin,0.458,CU-UEdin,0.6373,JHU-UEdin,0.516,HKU-UIUC,0.4936,CU-JHU,0.8664,UCL-UCam,0.8681
CU-ICL,0.5019,Oxon-UCL,0.4359,Oxon-NTU,0.4574,ICL-UEdin,0.6352,CU-UCam,0.5158,Oxon-UEdin,0.4919,MON-CU,0.8659,UEdin-MON,0.8676
CU-CMU,0.4998,UEdin-CU,0.434,Oxon-ICL,0.4565,HKU-MON,0.635,Oxon-NTU,0.5153,NTU-CU,0.4892,MON-UIUC,0.8653,JHU-CMU,0.8672
CU-UCam,0.4953,Oxon-UIUC,0.4337,NTU-CU,0.4558,NTU-UEdin,0.6327,UIUC-JHU,0.5152,JHU-NTU,0.4882,CMU-JHU,0.8638,CMU-UIUC,0.8668
CU-MIT,0.4942,NTU-UCL,0.4323,MON-HKU,0.4546,ICL-JHU,0.6326,CMU-UEdin,0.5151,UEdin-MON,0.4837,MON-ICL,0.8623,CU-MIT,0.8664
Oxon-NTU,0.4939,UEdin-MIT,0.4322,CU-UEdin,0.4543,ICL-MIT,0.631,JHU-UIUC,0.5106,CMU-NTU,0.4835,UCL-HKU,0.862,Oxon-CMU,0.8658
CU-UEdin,0.4903,Oxon-CMU,0.4313,NTU-MON,0.4535,UEdin-JHU,0.6302,MIT-UEdin,0.5093,JHU-UCL,0.4823,UEdin-NTU,0.8616,CU-CMU,0.8655
NTU-Oxon,0.4897,UCL-ICL,0.4311,UIUC-HKU,0.4516,UEdin-CMU,0.6297,UCL-Oxon,0.5089,UCL-MIT,0.4822,HKU-ICL,0.8615,MON-UCL,0.8653
Oxon-MON,0.4878,CU-MON,0.4306,UIUC-UCL,0.4508,CMU-UIUC,0.628,MIT-CMU,0.5086,Oxon-ICL,0.4798,MIT-NTU,0.861,Oxon-UEdin,0.865
ICL-UIUC,0.4875,UIUC-Oxon,0.4294,ICL-UIUC,0.4471,ICL-CU,0.6273,Oxon-MON,0.5081,CU-UCam,0.4787,CMU-ICL,0.8609,NTU-CU,0.8646
MIT-ICL,0.487,MIT-MON,0.4293,CU-MON,0.4423,UEdin-MON,0.6269,UIUC-MIT,0.5069,MIT-CU,0.4775,CMU-MON,0.8608,UEdin-CU,0.8644
CMU-MON,0.4865,ICL-UCL,0.4292,Oxon-MIT,0.442,CU-Oxon,0.6265,CU-ICL,0.5068,CU-CMU,0.4752,CU-HKU,0.8592,Oxon-JHU,0.8634
MON-ICL,0.4858,NTU-CU,0.428,Oxon-MON,0.4402,MIT-JHU,0.6261,UCL-CU,0.506,UIUC-Oxon,0.4747,UIUC-MON,0.8591,HKU-NTU,0.863
JHU-UIUC,0.4842,MIT-CMU,0.427,MON-UCL,0.4377,UIUC-CMU,0.6247,CMU-JHU,0.506,Oxon-MON,0.4734,CU-ICL,0.859,UEdin-MIT,0.8629
UIUC-CU,0.4838,MIT-Oxon,0.4259,JHU-MON,0.437,UEdin-ICL,0.6233,CMU-NTU,0.5044,UIUC-HKU,0.4723,UCL-UIUC,0.8588,CU-MON,0.8624
