Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
UCam-MON,0.5453,U of T-MON,0.5148,YU-NTU,0.5679,UIUC-UWaterloo,0.6935,Oxon-UCam,0.6174,MON-UIUC,0.5654,UWaterloo-HKU,0.8795,UWaterloo-CMU,0.8797
UWaterloo-U of T,0.5449,UEdin-CU,0.5143,U of T-CU,0.5655,MON-YU,0.6933,HKU-UC,0.6172,U of T-CU,0.5611,UCam-YU,0.8780,NTU-HKU,0.8790
UWaterloo-HKU,0.5447,U of T-CMU,0.5077,JHU-NTU,0.5645,UWaterloo-CU,0.6925,YU-UCam,0.6168,U of T-CMU,0.5604,NTU-YU,0.8770,UWaterloo-YU,0.8788
U of T-CU,0.5431,HKU-JHU,0.5060,UWaterloo-CU,0.5643,UIUC-UC,0.6919,UCam-UEdin,0.6130,Oxon-HKU,0.5599,JHU-UIUC,0.8769,JHU-CMU,0.8786
U of T-NTU,0.5429,UWaterloo-HKU,0.5053,UCam-UIUC,0.5627,JHU-MON,0.6915,U of T-UC,0.6128,MON-UEdin,0.5595,UC-NTU,0.8769,U of T-Oxon,0.8784
YU-HKU,0.5428,UEdin-U of T,0.5031,JHU-U of T,0.5613,YU-CU,0.6899,UWaterloo-UCam,0.6112,UIUC-UCam,0.5570,JHU-YU,0.8769,CU-JHU,0.8784
CU-UEdin,0.5413,YU-UIUC,0.4994,MON-JHU,0.5603,UCam-HKU,0.6868,UWaterloo-U of T,0.6105,HKU-JHU,0.5550,HKU-U of T,0.8767,JHU-NTU,0.8768
UEdin-U of T,0.5410,JHU-UCam,0.4972,UEdin-JHU,0.5560,YU-Oxon,0.6862,YU-U of T,0.6101,UEdin-NTU,0.5549,U of T-UCam,0.8764,U of T-UIUC,0.8767
JHU-UCam,0.5386,MON-UEdin,0.4971,UWaterloo-U of T,0.5541,UIUC-NTU,0.6807,UCam-UIUC,0.6083,U of T-UEdin,0.5543,NTU-UC,0.8754,UCam-Oxon,0.8763
CU-Oxon,0.5350,UIUC-CMU,0.4946,CU-JHU,0.5539,U of T-CMU,0.6803,HKU-JHU,0.6079,Oxon-U of T,0.5539,UWaterloo-MON,0.8754,JHU-CU,0.8760
Oxon-UEdin,0.5341,Oxon-UEdin,0.4937,MON-UEdin,0.5518,CU-UEdin,0.6801,YU-UEdin,0.6034,YU-UIUC,0.5516,YU-JHU,0.8752,UIUC-UWaterloo,0.8758
Oxon-U of T,0.5316,Oxon-CMU,0.4929,JHU-CU,0.5510,UIUC-YU,0.6780,U of T-JHU,0.6009,UEdin-CU,0.5462,JHU-UEdin,0.8747,UIUC-UC,0.8758
UIUC-UC,0.5310,UIUC-JHU,0.4911,UCam-CU,0.5508,JHU-CMU,0.6773,CU-JHU,0.6006,UWaterloo-YU,0.5456,MON-UCam,0.8746,MON-YU,0.8757
YU-U of T,0.5285,UIUC-CU,0.4896,YU-U of T,0.5478,HKU-UWaterloo,0.6771,JHU-NTU,0.5992,UEdin-CMU,0.5452,UCam-HKU,0.8740,Oxon-MON,0.8749
CU-JHU,0.5269,UIUC-MON,0.4895,JHU-UEdin,0.5473,JHU-HKU,0.6769,YU-JHU,0.5981,UIUC-UEdin,0.5447,MON-Oxon,0.8740,UCam-U of T,0.8746
UEdin-CMU,0.5263,UIUC-U of T,0.4831,JHU-HKU,0.5466,MON-UC,0.6763,MON-UEdin,0.5973,U of T-NTU,0.5409,HKU-UC,0.8737,JHU-UWaterloo,0.8740
U of T-Oxon,0.5261,MON-UIUC,0.4817,U of T-JHU,0.5447,YU-JHU,0.6757,UIUC-NTU,0.5964,UEdin-U of T,0.5395,UWaterloo-UIUC,0.8736,UWaterloo-MON,0.8737
YU-NTU,0.5252,UIUC-UEdin,0.4805,U of T-Oxon,0.5441,UCam-CMU,0.6737,JHU-UEdin,0.5950,Oxon-UEdin,0.5356,YU-NTU,0.8731,UWaterloo-CU,0.8730
UIUC-YU,0.5248,UWaterloo-YU,0.4800,YU-JHU,0.5441,UIUC-UCam,0.6722,YU-UIUC,0.5937,YU-U of T,0.5332,UC-YU,0.8728,Oxon-CU,0.8729
Oxon-HKU,0.5242,Oxon-CU,0.4726,UCam-UEdin,0.5437,UWaterloo-U of T,0.6720,UIUC-UC,0.5935,MON-YU,0.5323,HKU-UIUC,0.8728,YU-UIUC,0.8723
UEdin-HKU,0.5238,YU-U of T,0.4721,JHU-CMU,0.5428,UWaterloo-UC,0.6716,YU-CU,0.5927,HKU-UWaterloo,0.5289,UWaterloo-CMU,0.8713,JHU-UCam,0.8721
HKU-UWaterloo,0.5223,MON-YU,0.4717,JHU-UCam,0.5421,UCam-MON,0.6714,UWaterloo-CU,0.5898,UCam-CU,0.5222,UIUC-UEdin,0.8712,HKU-UEdin,0.8719
JHU-YU,0.5212,YU-UCam,0.4693,CU-UIUC,0.5407,YU-CMU,0.6707,JHU-UCam,0.5884,YU-CU,0.5209,YU-UC,0.8710,U of T-JHU,0.8718
UEdin-CU,0.5212,U of T-UC,0.4688,UCam-JHU,0.5407,U of T-JHU,0.6684,HKU-UWaterloo,0.5879,Oxon-CMU,0.5187,YU-UIUC,0.8709,CU-U of T,0.8715
UCam-UIUC,0.5199,CU-UIUC,0.4685,UIUC-UC,0.5380,YU-UCam,0.6680,UWaterloo-UEdin,0.5820,UCam-NTU,0.5155,CU-YU,0.8708,Oxon-CMU,0.8709
MON-UC,0.5180,UCam-UEdin,0.4654,MON-YU,0.5362,UCam-U of T,0.6654,Oxon-U of T,0.5811,UCam-JHU,0.5144,CU-UCam,0.8707,U of T-UC,0.8707
YU-UIUC,0.5176,MON-JHU,0.4593,UWaterloo-MON,0.5343,U of T-UC,0.6625,UEdin-UCam,0.5808,UEdin-JHU,0.5130,UCam-JHU,0.8694,UIUC-YU,0.8706
YU-UCam,0.5173,UEdin-NTU,0.4565,JHU-UIUC,0.5339,JHU-UWaterloo,0.6625,Oxon-CMU,0.5806,UCam-UIUC,0.5129,U of T-CMU,0.8694,UCam-UEdin,0.8696
JHU-MON,0.5163,U of T-NTU,0.4558,MON-UC,0.5322,Oxon-CU,0.6604,Oxon-UEdin,0.5799,MON-JHU,0.5105,UWaterloo-CU,0.8688,CU-UIUC,0.8695
U of T-UEdin,0.5143,YU-Oxon,0.4545,UEdin-CU,0.5308,UWaterloo-JHU,0.6598,UIUC-JHU,0.5798,NTU-HKU,0.5099,UCam-Oxon,0.8688,UCam-JHU,0.8693
UCam-NTU,0.5131,U of T-UEdin,0.4538,UCam-NTU,0.5308,UWaterloo-Oxon,0.6595,UCam-CU,0.5772,CU-JHU,0.5086,UCam-CMU,0.8687,MON-UC,0.8690
JHU-Oxon,0.5118,YU-CU,0.4514,UWaterloo-JHU,0.5284,JHU-CU,0.6588,JHU-UWaterloo,0.5760,NTU-YU,0.5029,CU-U of T,0.8687,UWaterloo-UC,0.8687
UCam-JHU,0.5113,UEdin-UIUC,0.4463,U of T-UC,0.5166,MON-U of T,0.6573,JHU-CU,0.5722,U of T-UC,0.5027,MON-YU,0.8686,YU-Oxon,0.8687
U of T-CMU,0.5104,Oxon-MON,0.4442,Oxon-UCam,0.5166,UC-YU,0.6551,UEdin-NTU,0.5720,Oxon-MON,0.5027,U of T-CU,0.8668,UWaterloo-Oxon,0.8674
JHU-CMU,0.5075,JHU-UEdin,0.4415,UWaterloo-CMU,0.5135,MON-UWaterloo,0.6538,Oxon-MON,0.5712,MON-UC,0.4992,UC-Oxon,0.8666,YU-CU,0.8672
JHU-NTU,0.5070,UCam-CU,0.4412,YU-UIUC,0.5124,JHU-UC,0.6494,MON-NTU,0.5689,UWaterloo-CU,0.4975,U of T-UC,0.8641,UWaterloo-UCam,0.8670
UEdin-NTU,0.5056,UCam-YU,0.4405,UWaterloo-UEdin,0.5119,Oxon-HKU,0.6475,MON-UC,0.5669,JHU-MON,0.4974,CU-UWaterloo,0.8635,UCam-CU,0.8670
NTU-UCam,0.5044,MON-UC,0.4375,UWaterloo-UIUC,0.5117,UWaterloo-NTU,0.6472,CU-YU,0.5643,YU-UCam,0.4967,CMU-MON,0.8633,UCam-NTU,0.8669
CU-UIUC,0.5026,UCam-JHU,0.4371,JHU-Oxon,0.5111,YU-UC,0.6465,UEdin-JHU,0.5639,UWaterloo-U of T,0.4961,CMU-UIUC,0.8628,UEdin-UCam,0.8664
UEdin-MON,0.4998,JHU-Oxon,0.4359,YU-CU,0.5093,UC-HKU,0.6456,YU-MON,0.5631,YU-Oxon,0.4949,UWaterloo-Oxon,0.8625,YU-UCam,0.8664
NTU-HKU,0.4988,YU-MON,0.4346,NTU-CU,0.5088,JHU-UIUC,0.6454,U of T-NTU,0.5624,CU-UIUC,0.4944,NTU-HKU,0.8618,UWaterloo-U of T,0.8662
UWaterloo-UCam,0.4987,UCam-NTU,0.4345,UWaterloo-UCam,0.5059,Oxon-UCam,0.6452,JHU-YU,0.5611,UEdin-UIUC,0.4926,YU-MON,0.8615,JHU-UIUC,0.8653
NTU-Oxon,0.4981,UCam-UIUC,0.4317,U of T-UEdin,0.5048,MON-NTU,0.6433,JHU-U of T,0.5590,YU-MON,0.4922,U of T-YU,0.8611,CU-UWaterloo,0.8650
Oxon-MON,0.4974,UEdin-UC,0.4302,UCam-YU,0.5045,UIUC-UEdin,0.6405,Oxon-CU,0.5587,UIUC-JHU,0.4922,UCam-UC,0.8611,Oxon-U of T,0.8646
UCam-CU,0.4974,HKU-UWaterloo,0.4288,UEdin-NTU,0.5041,CMU-MON,0.6399,CU-UC,0.5570,UIUC-UC,0.4895,UEdin-JHU,0.8607,UWaterloo-UIUC,0.8645
UIUC-UWaterloo,0.4972,JHU-U of T,0.4287,YU-UCam,0.5024,Oxon-U of T,0.6392,UWaterloo-MON,0.5561,U of T-JHU,0.4890,U of T-Oxon,0.8606,JHU-U of T,0.8645
U of T-UC,0.4951,JHU-HKU,0.4287,NTU-JHU,0.5018,MON-UCam,0.6386,MON-YU,0.5559,JHU-Oxon,0.4875,NTU-UIUC,0.8604,UWaterloo-JHU,0.8637
UWaterloo-UIUC,0.4923,UWaterloo-CU,0.4276,CMU-MON,0.5012,JHU-NTU,0.6380,YU-Oxon,0.5542,JHU-UCam,0.4838,JHU-Oxon,0.8604,YU-MON,0.8635
NTU-CMU,0.4922,NTU-YU,0.4267,UC-HKU,0.4989,Oxon-MON,0.6351,UCam-JHU,0.5530,UWaterloo-UCam,0.4759,Oxon-YU,0.8602,MON-UWaterloo,0.8634
UWaterloo-Oxon,0.4918,Oxon-JHU,0.4263,UEdin-HKU,0.4969,CMU-HKU,0.6338,CU-UWaterloo,0.5512,YU-UEdin,0.4747,NTU-CU,0.8601,NTU-Oxon,0.8634
UWaterloo-JHU,0.4880,CU-UC,0.4238,UWaterloo-UC,0.4961,UWaterloo-UCam,0.6319,U of T-UWaterloo,0.5505,JHU-UEdin,0.4731,NTU-MON,0.8597,UIUC-UEdin,0.8633
UEdin-JHU,0.4872,CU-UWaterloo,0.4227,CMU-HKU,0.4952,HKU-UEdin,0.6305,UWaterloo-NTU,0.5491,NTU-CU,0.4716,UEdin-UWaterloo,0.8597,CU-UEdin,0.8626
Oxon-NTU,0.4869,U of T-JHU,0.4224,JHU-YU,0.4951,JHU-YU,0.6297,MON-JHU,0.5489,UWaterloo-UIUC,0.4711,YU-CU,0.8594,JHU-UC,0.8625
JHU-UIUC,0.4859,JHU-NTU,0.4206,Oxon-HKU,0.4949,UC-CU,0.6285,UEdin-Oxon,0.5471,JHU-U of T,0.4696,UCam-U of T,0.8583,U of T-UWaterloo,0.8625
U of T-JHU,0.4852,JHU-UWaterloo,0.4164,YU-MON,0.4937,CMU-UIUC,0.6283,JHU-CMU,0.5464,UEdin-UWaterloo,0.4691,UWaterloo-UEdin,0.8580,UEdin-NTU,0.8617
UEdin-UIUC,0.4838,JHU-CMU,0.4153,NTU-HKU,0.4893,UCam-YU,0.6268,UWaterloo-CMU,0.5450,Oxon-NTU,0.4690,U of T-UIUC,0.8578,CU-UC,0.8615
Oxon-CMU,0.4829,UWaterloo-U of T,0.4132,UEdin-MON,0.4859,UEdin-Oxon,0.6261,JHU-MON,0.5449,YU-JHU,0.4686,YU-HKU,0.8576,JHU-Oxon,0.8612
NTU-UIUC,0.4825,JHU-MON,0.4101,CU-UC,0.4854,Oxon-UIUC,0.6257,UEdin-MON,0.5434,UIUC-YU,0.4674,YU-UWaterloo,0.8574,CMU-HKU,0.8609
UCam-YU,0.4819,UEdin-UWaterloo,0.4093,UEdin-UCam,0.4845,Oxon-NTU,0.6220,UC-HKU,0.5426,Oxon-CU,0.4671,CMU-UC,0.8544,UWaterloo-NTU,0.8608
UWaterloo-CU,0.4816,YU-JHU,0.4086,NTU-YU,0.4810,UWaterloo-UEdin,0.6216,UEdin-CU,0.5425,UCam-YU,0.4667,YU-CMU,0.8541,YU-CMU,0.8606
CU-UC,0.4804,NTU-HKU,0.4077,JHU-UC,0.4804,UCam-UEdin,0.6188,Oxon-UIUC,0.5420,UEdin-UC,0.4615,NTU-CMU,0.8532,Oxon-NTU,0.8604
